Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09 00:00:00-04:00,7.1600972007621415,7.411328681490638,7.076353373852643,7.369456768035889,1116800,0.0,0.0
1986-07-10 00:00:00-04:00,7.411328569139753,7.453200481959752,7.160097092219762,7.327584743499756,595600,0.0,0.0
1986-07-11 00:00:00-04:00,7.2857101767726204,7.327582074340279,7.076350688934327,7.076350688934326,800400,0.0,0.0
1986-07-14 00:00:00-04:00,7.118226376975455,7.118226376975455,6.783251018058963,6.866994857788086,738000,0.0,0.0
1986-07-15 00:00:00-04:00,6.825121912566371,6.825121912566371,6.2389151225299955,6.657634258270264,2059200,0.0,0.0
1986-07-16 00:00:00-04:00,6.65763411698518,7.0344813311541525,6.65763411698518,6.783249855041504,1160400,0.0,0.0
1986-07-17 00:00:00-04:00,6.783249966205995,6.866993792949279,6.699506139462711,6.825121879577637,1046000,0.0,0.0
1986-07-18 00:00:00-04:00,6.825122937923524,6.929802737584928,6.69950717832984,6.866994857788086,1420000,0.0,0.0
1986-07-21 00:00:00-04:00,6.866994857788086,6.908866777652648,6.825122937923524,6.866994857788086,322800,0.0,0.0
1986-07-22 00:00:00-04:00,6.866993792949279,6.8879297496350995,6.825121879577637,6.825121879577637,390800,0.0,0.0
1986-07-23 00:00:00-04:00,6.866995509366811,6.866995509366811,6.6995078140164015,6.741379737854004,1004000,0.0,0.0
1986-07-24 00:00:00-04:00,6.741378085418317,6.7832499989923445,6.57389043112221,6.657634258270264,1071600,0.0,0.0
1986-07-25 00:00:00-04:00,6.657635890178798,6.783251661691606,6.615763966341196,6.741379737854004,688400,0.0,0.0
1986-07-28 00:00:00-04:00,6.7413779423560625,6.866993680412387,6.678570073327901,6.783249855041504,414800,0.0,0.0
1986-07-29 00:00:00-04:00,6.699506139462711,6.825121879577637,6.699506139462711,6.825121879577637,278400,0.0,0.0
1986-07-30 00:00:00-04:00,6.7413779423560625,6.783249855041504,6.615762204299738,6.783249855041504,459200,0.0,0.0
1986-07-31 00:00:00-04:00,6.783251661691606,6.866995509366811,6.6995078140164015,6.741379737854004,1213600,0.0,0.0
1986-08-01 00:00:00-04:00,6.699503385103665,6.783247177417461,6.532015800476074,6.532015800476074,1118000,0.0,0.0
1986-08-04 00:00:00-04:00,6.573887696632972,6.573887696632972,6.385464163926931,6.532015800476074,892400,0.0,0.0
1986-08-05 00:00:00-04:00,6.532019783468808,6.532019783468808,6.364532096713197,6.4064040184021,868800,0.0,0.0
1986-08-06 00:00:00-04:00,6.406403763653481,6.44827568367736,6.113300323486328,6.113300323486328,550400,0.0,0.0
1986-08-07 00:00:00-04:00,6.029557185386544,6.071429110285062,5.443350236807297,5.610837936401367,7560000,0.0,0.0
1986-08-08 00:00:00-04:00,5.6527074457893915,5.98768270183617,5.610835538783544,5.945810794830322,2802000,0.0,0.0
1986-08-11 00:00:00-04:00,6.02955648343857,6.113300323486328,5.945812643390813,6.113300323486328,1428000,0.0,0.0
